epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3509.32,0.43462,0.48065,0.29251,0.87312,0.98378,0.98026,0.99041,0.91218,0.98595,0.97977,0.98769,0.78117,0.50402,0.67261,0.30493,0.81951,0.000363239,0.000363239,0.000363239
81,3544.4,0.42682,0.48966,0.28456,0.86519,0.97822,0.9852,0.99022,0.91829,0.97931,0.97862,0.98892,0.78653,0.50242,0.63761,0.31329,0.82086,0.000346736,0.000346736,0.000346736
82,3579.27,0.4332,0.50121,0.29246,0.86447,0.987,0.97533,0.9904,0.91934,0.98767,0.97533,0.98993,0.78211,0.51102,0.68764,0.29943,0.82342,0.000330233,0.000330233,0.000330233
83,3628.18,0.41605,0.47541,0.28309,0.85949,0.98447,0.9809,0.99077,0.91248,0.98597,0.98026,0.99023,0.78973,0.51241,0.6548,0.3012,0.82514,0.000313729,0.000313729,0.000313729
84,3672.82,0.42196,0.49466,0.27538,0.86582,0.98766,0.98191,0.99138,0.92117,0.98833,0.98115,0.99014,0.79157,0.51459,0.65006,0.29938,0.82193,0.000297226,0.000297226,0.000297226
85,3727.65,0.41396,0.49055,0.2818,0.86135,0.9868,0.97862,0.99091,0.91728,0.9868,0.97862,0.99023,0.78355,0.50314,0.64216,0.29464,0.81824,0.000280723,0.000280723,0.000280723
86,3762.29,0.41827,0.49858,0.27395,0.85766,0.98883,0.97921,0.99155,0.92167,0.98883,0.97921,0.9906,0.79982,0.51482,0.64956,0.3041,0.82116,0.00026422,0.00026422,0.00026422
87,3797.86,0.40224,0.4758,0.26621,0.86091,0.98107,0.9792,0.99067,0.917,0.9826,0.97862,0.98981,0.78957,0.51213,0.6434,0.30833,0.82159,0.000247716,0.000247716,0.000247716
88,3843.86,0.40718,0.47368,0.26314,0.87175,0.98347,0.97862,0.9905,0.92227,0.98261,0.97697,0.99004,0.79253,0.51075,0.64635,0.2959,0.82122,0.000231213,0.000231213,0.000231213
89,3899.05,0.3993,0.48248,0.26314,0.86631,0.98517,0.9785,0.99062,0.9202,0.98517,0.9785,0.99027,0.78776,0.51074,0.61986,0.29482,0.81958,0.00021471,0.00021471,0.00021471
90,3963.33,0.41052,0.50117,0.27444,0.86034,0.98036,0.97879,0.99113,0.92057,0.98049,0.97866,0.99032,0.79248,0.51242,0.65814,0.30072,0.82502,0.000198206,0.000198206,0.000198206
91,4013.92,0.37789,0.47781,0.24707,0.82977,0.98086,0.98202,0.99032,0.91805,0.98105,0.98182,0.98999,0.79527,0.5153,0.66653,0.30667,0.8232,0.000181703,0.000181703,0.000181703
92,4046.23,0.36568,0.44745,0.23791,0.82737,0.98588,0.97862,0.99046,0.91958,0.98251,0.97533,0.98684,0.78508,0.50928,0.68297,0.30244,0.81791,0.0001652,0.0001652,0.0001652
93,4102.44,0.36387,0.44377,0.23105,0.82555,0.98129,0.98026,0.99045,0.92016,0.98465,0.97697,0.98992,0.78703,0.50586,0.67759,0.29755,0.82071,0.000148696,0.000148696,0.000148696
94,4181.16,0.3589,0.43215,0.2296,0.82008,0.98121,0.98343,0.99073,0.92428,0.98498,0.97697,0.99025,0.79929,0.4994,0.68484,0.2899,0.81668,0.000132193,0.000132193,0.000132193
95,4223.14,0.36048,0.43361,0.22869,0.82122,0.98172,0.98191,0.99107,0.92148,0.98178,0.98026,0.99013,0.79728,0.50294,0.65983,0.28595,0.81709,0.00011569,0.00011569,0.00011569
96,4271.74,0.3634,0.43227,0.2269,0.82133,0.98112,0.98228,0.99038,0.92337,0.98233,0.97862,0.98732,0.79527,0.49925,0.66453,0.28574,0.81672,9.91865e-05,9.91865e-05,9.91865e-05
97,4317.82,0.35216,0.44131,0.22268,0.81794,0.98476,0.97926,0.9906,0.92276,0.98343,0.97574,0.98772,0.79472,0.49787,0.66075,0.28806,0.81677,8.26832e-05,8.26832e-05,8.26832e-05
98,4371.47,0.34724,0.43852,0.21642,0.81131,0.98609,0.97834,0.99066,0.92085,0.98431,0.97533,0.98776,0.78794,0.49827,0.66607,0.28358,0.81734,6.61799e-05,6.61799e-05,6.61799e-05
99,4445.06,0.34914,0.42384,0.21988,0.82547,0.98364,0.97862,0.99067,0.92258,0.98056,0.97533,0.98782,0.78708,0.49923,0.67016,0.28099,0.81747,4.96766e-05,4.96766e-05,4.96766e-05
100,4480.66,0.34404,0.42386,0.2153,0.81863,0.98354,0.97862,0.99061,0.92202,0.98018,0.97533,0.98776,0.78843,0.49646,0.67837,0.28014,0.81675,3.31733e-05,3.31733e-05,3.31733e-05
